Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
-12144.77,-13997.91,-10593.92,-13904.57,-8781.82,-4707.01,-6997.35,-10378.54,-3054.77,414.4,-6400.29,1563.19,-56009.09,-3884.11,7160.96,-4558.15
-4468.56,-3298.85,-13853.34,-2725.93,-610.74,-616.37,-2191.9,-2936.75,3341.5,-3726.12,-11072.16,4816.71,-32920.63,-299.6,1607.72,-2011.66
15305.76,16219.86,-11412.8,12944.61,10045.95,3624.2,4306.02,15455.16,15277.06,-6468.68,-7127.97,12279.96,44765.53,6599.58,-2110.36,2033.92
8605.6,6377.22,-5782.57,1686.57,1765.43,-246.5,233.35,8641.01,7904.74,-1007.71,628.44,7083.18,32913.12,2879.08,3388.43,191.24
-9631.28,-12250.19,-8888.57,-11954.87,-8348.38,-4723.1,-6613.52,-8480.34,-1699.45,1084.95,-4547.69,2359.27,-45529.16,-3192.63,7152.38,-3903.96
-6923.85,-7870.14,-10576.22,-6704.45,-2839.12,-1484.33,-3634.13,-5478.95,755.04,-1241.06,-9932.76,4697.62,-41698.96,-1322.06,3137.92,-3333.18
12214.51,12813.72,-8729.25,11080.21,8545.25,3218.11,4065.96,12837.86,12768.12,-5239.7,-6108.46,10645.96,31798.93,5775.06,-1678.26,2020.24
11510.16,9077.67,-5991.25,4426.45,5058.65,1651.97,2092.39,12056.8,9473.03,-2574.65,-1482.19,9110.93,41216.44,4490.82,1874.33,387.04
-7268.79,-9497.17,-7526.55,-9655.15,-7138.97,-4148.3,-5820.13,-6806.11,-702.47,1010.12,-2905.37,2182.51,-34092.22,-2677.65,6497.92,-3107.88
-9187.1,-9932.76,-12404.41,-9466.59,-4487.87,-2167.49,-5012.51,-7644.83,57.4,-956.21,-11080.21,4624.93,-50820.62,-2162.93,4373.88,-4287.24
10695.58,12283.98,-9651.93,10525.79,8186.37,3300.73,3396.48,11219.95,12025.68,-5232.19,-7585.02,10338.04,23600.22,5007.15,-1786.08,1579.28
14765.03,13100.98,-6847.68,7059.57,6467.61,2191.1,3010.24,14532.48,12623.82,-3194.24,-1044.72,10474.03,49781.53,5273.49,1643.93,1189.29
-5866.26,-8906.01,-6723.76,-10154.04,-7674.61,-4489.48,-5585.43,-4695.74,601.89,2054.3,-101.12,2678.45,-26216.99,-1956.4,8048.77,-2281.76
-10831.3,-11441.77,-13840.47,-11383.3,-5719.01,-2989.32,-5585.16,-9219.29,-679.14,-970.96,-10725.89,3352.76,-57094.85,-2770.99,5427.72,-4388.09
7517.96,9073.65,-12479.78,8433.67,7069.23,2367.32,2200.22,8241.36,10388.73,-5602.87,-9927.93,9112.27,9187.37,3950.36,-1183.12,784.28
15586.85,14178.96,-8591.12,9256.3,8785.04,3320.84,3788.08,15811.35,12931.74,-5133.21,-4444.42,11753.17,51825.91,6272.08,-435.86,1297.38
-2741.49,-4850.78,-6035.51,-6120.53,-4216.43,-2710.91,-3613.47,-2167.23,1006.36,-64.1,-1444.91,2626.42,-10358.69,-942.8,4637.0,-1914.02
-11300.68,-13095.62,-11517.41,-12518.94,-6881.74,-3520.4,-6344.5,-9756.27,-1499.89,211.63,-8454.59,3513.69,-57204.55,-2929.78,6154.6,-4307.63
3600.6,4682.06,-8873.82,4606.16,3660.14,1453.49,969.89,3921.12,7207.36,-3339.08,-6896.23,6802.08,-3162.86,2323.6,-35.41,485.75
16286.37,15197.93,-8698.4,10648.37,9498.24,4032.7,4471.78,16337.87,14011.32,-5327.14,-5130.26,12245.36,50452.89,6585.9,-763.89,1431.76
-860.45,-3759.92,-5953.16,-5861.43,-3950.36,-2525.84,-3161.79,124.99,2539.25,328.57,-263.39,3791.57,-3500.82,-161.74,5756.83,-1481.12
-12679.88,-14118.88,-12378.13,-14069.53,-8522.18,-4289.39,-6975.08,-11107.03,-2077.91,252.13,-7335.84,2016.75,-61765.91,-3623.93,7184.3,-4274.9
-402.6,163.88,-13766.44,834.44,2097.76,681.28,-665.72,247.84,4698.16,-4088.49,-10810.64,5869.48,-21910.7,829.88,991.34,-1291.22
16386.69,16365.5,-9554.57,12822.84,9872.41,3930.51,5001.25,16110.15,14999.99,-5934.39,-5146.09,12132.7,47348.5,6821.66,-1410.31,2430.62
4585.5,1991.81,-3954.11,-1083.08,-892.91,-1214.24,-953.79,5102.63,5899.79,550.93,1610.13,6063.94,18867.46,1936.29,4899.86,75.91
-10985.79,-12982.43,-9993.91,-12915.37,-8148.55,-4363.69,-6751.39,-9874.82,-1915.9,872.52,-5901.4,2291.95,-52848.91,-3508.87,7041.87,-4200.88
-3816.52,-3487.94,-9852.56,-3316.28,-767.11,-435.59,-2088.9,-2819.81,2439.2,-1679.87,-8858.0,4720.69,-31360.12,-508.01,2224.62,-2331.38
14676.51,14975.31,-9406.24,11613.7,9440.84,3758.58,4326.14,14928.1,13658.61,-5546.81,-6077.89,11631.67,41763.87,6289.51,-1603.42,1758.19
6862.43,4978.98,-6254.64,1084.42,1796.81,-6.44,162.81,6959.53,6886.04,-2112.24,-856.97,6465.2,29001.12,2689.18,2631.25,-175.68
-9999.28,-11827.74,-9555.1,-11920.54,-8115.29,-4535.35,-6555.32,-9238.06,-1758.99,815.66,-4490.29,1894.18,-46382.64,-3373.15,7057.97,-3945.53
-5565.58,-5675.29,-15037.81,-5168.89,-1547.37,-1276.46,-3239.3,-5171.03,1624.61,-2867.28,-12413.53,4753.41,-44130.12,-1340.84,3158.57,-3555.27
14956.8,16346.19,-12167.04,14557.42,10126.14,4015.54,4832.8,13928.98,14850.32,-6909.91,-7841.44,11468.86,33620.42,6319.02,-2142.82,2599.87
11650.98,9845.32,-5815.3,4518.45,4584.16,1513.03,2003.07,11676.19,10794.28,-2316.09,-849.99,9498.51,44080.77,4784.52,2096.95,795.01
-7903.13,-10183.28,-7612.38,-10424.94,-7646.98,-4341.96,-6002.78,-7324.85,-489.23,1385.09,-2103.12,2202.36,-35332.74,-2523.69,6856.8,-2801.84
-9191.39,-8992.11,-13482.66,-8665.68,-4204.36,-2316.36,-4604.01,-7813.81,265.81,-1446.25,-10982.57,4014.73,-54600.12,-2309.65,4614.74,-3988.98
10287.61,11996.18,-10747.61,10574.07,8102.42,3273.64,3459.51,11154.5,11678.88,-5717.67,-8694.11,10119.71,19643.16,4828.51,-1393.14,1081.2
12938.98,11770.34,-7214.34,6700.96,6578.92,2517.25,2935.95,13130.22,11575.88,-4348.93,-3281.41,10096.64,48317.05,5179.61,491.92,628.44
-6286.56,-8473.1,-7137.36,-8975.21,-6419.6,-3897.79,-5161.91,-5326.33,-0.54,989.2,-1421.3,2421.23,-22762.3,-1722.25,6405.38,-2187.34
-10610.55,-11959.7,-12272.98,-11131.17,-5905.96,-3074.88,-5785.26,-9025.9,-675.92,535.37,-8752.05,4336.86,-55086.41,-2049.21,6160.23,-3633.59
7326.19,8355.08,-10044.61,7346.3,5960.14,2303.48,2200.22,7785.92,9072.57,-3801.76,-7069.5,8329.87,9291.71,3715.13,-479.04,863.13
15014.74,13477.03,-8013.1,8178.32,8051.46,3063.89,3612.4,15306.83,12962.04,-4481.17,-4160.11,11768.46,52088.77,6304.26,173.54,1002.61
-3316.28,-5527.5,-5997.69,-6701.23,-5293.88,-3332.11,-4169.49,-2853.33,1650.63,698.45,-414.67,3132.28,-9078.47,-951.11,5653.83,-1774.82
-11247.31,-12871.12,-11697.92,-12094.08,-6829.71,-3365.9,-6217.9,-9761.1,-1369.27,561.65,-8750.44,3786.74,-58858.67,-3086.95,6488.0,-4569.95
3560.63,5012.78,-8980.84,4568.07,3833.95,1461.0,1107.48,4572.63,6779.55,-2784.94,-7270.93,6943.17,-6876.38,2234.01,229.6,81.0
15822.08,14647.01,-8421.87,9869.99,8809.98,3320.84,4103.51,16362.28,14175.48,-4561.63,-4176.74,12598.87,50761.88,6961.67,-189.1,2024.8
-703.28,-3968.06,-5470.63,-6279.86,-4450.32,-2976.72,-3386.02,467.78,3296.7,841.14,803.05,4332.3,2997.64,244.35,6335.65,-1231.13
-12025.15,-13856.29,-11611.02,-13603.36,-8114.76,-4013.12,-6642.76,-10530.62,-2438.66,-291.56,-7803.35,1603.42,-57666.16,-4141.87,6621.3,-5058.11
226.65,1352.91,-9469.54,1356.12,1746.12,619.05,-225.84,1225.23,4350.01,-2946.14,-8629.2,5146.35,-19804.63,355.12,866.62,-1581.97
16409.49,16706.41,-8902.52,11978.75,9813.13,3528.98,4597.04,16707.48,15361.82,-5690.84,-4892.89,11855.63,48141.63,6645.71,-1466.36,2227.84
3900.74,1401.45,-4773.53,-2000.93,-1186.61,-1568.82,-1545.76,4370.93,5849.36,-75.1,953.26,5855.8,21601.71,1773.48,4770.58,-404.21
-11432.92,-12853.68,-11030.32,-13044.66,-8545.52,-4677.77,-7008.88,-10480.46,-1727.61,736.53,-5258.47,1914.02,-52184.26,-3622.06,7252.96,-3975.57
-3459.78,-1682.82,-12911.35,-1599.13,-168.17,-260.17,-1742.9,-2387.7,3060.67,-2366.78,-9765.92,4549.56,-34991.3,-510.16,2095.88,-1895.25
15841.93,17420.41,-10163.43,13574.39,9943.22,4069.72,4840.31,15406.34,15100.57,-5989.91,-5857.94,11499.17,42212.88,6389.29,-2049.21,2650.29
6910.71,4285.9,-5633.98,-249.71,259.64,-732.24,-486.82,7009.69,8303.05,-996.17,1049.82,7424.35,32944.5,2978.86,3885.45,406.35
-11583.66,-13847.44,-10684.31,-14132.29,-9587.29,-5441.4,-7528.96,-10189.18,-2052.96,759.33,-3883.3,1259.3,-47119.44,-3686.16,7717.52,-3936.14
-5632.37,-5415.92,-14465.15,-4492.97,-2006.56,-1366.85,-3431.08,-5062.94,1234.62,-2908.59,-10916.59,3640.56,-44970.72,-1763.55,3082.93,-3020.7
14885.99,15613.94,-11734.4,13841.27,9709.6,4020.1,4369.86,14024.2,13489.1,-6822.2,-7729.86,10636.3,31053.28,5658.39,-2320.38,2346.66
10605.99,8314.31,-5751.46,3395.14,3056.65,677.79,1172.66,10472.15,10420.65,-2292.22,-115.07,8989.16,44221.05,4214.82,2473.27,842.75
-8918.08,-11433.99,-8405.78,-11714.28,-8653.08,-5018.41,-6757.56,-8032.14,-608.59,1494.8,-1619.25,1888.54,-34539.08,-2770.45,7907.15,-2883.37
-8805.42,-8626.52,-12609.6,-8365.81,-4232.26,-2275.59,-4589.8,-7459.22,-130.09,-915.71,-9814.74,3601.13,-52650.42,-2423.11,4637.27,-3744.9
11477.44,13226.78,-10147.6,11412.26,8325.31,3144.09,3748.12,11840.34,11744.05,-5205.1,-7354.35,9584.61,20005.26,4556.81,-1844.56,1432.03
13992.82,12487.29,-6742.54,6738.78,6321.7,2223.82,2923.61,13718.16,13085.96,-4158.5,-2356.86,10719.18,51290.28,5500.94,372.83,1145.84
-6231.84,-8651.47,-6887.64,-9329.26,-6535.74,-3868.55,-5175.32,-5287.17,289.41,959.43,-1161.4,2453.68,-20687.34,-1704.54,6267.52,-2347.47
-10464.1,-11303.63,-11759.88,-10992.23,-5584.36,-2808.27,-5403.58,-8955.09,-1373.29,-240.59,-9260.86,3244.94,-56991.04,-3102.51,5692.45,-4488.41
7972.33,9496.09,-8735.96,8174.3,6300.78,2393.07,2612.2,8630.81,8942.22,-4185.86,-7225.6,7806.3,6652.68,3258.88,-771.67,612.08
14619.38,13190.57,-7999.42,7749.17,7656.63,2749.0,3296.7,14937.49,13566.88,-5086.01,-4355.64,11693.36,51565.2,6166.67,-212.16,1068.59
-3902.88,-6414.24,-6386.88,-7721.81,-5735.9,-3587.19,-4582.55,-3362.42,1885.06,692.28,-406.35,3338.55,-8297.95,-893.18,6078.96,-1940.31
-10710.33,-12046.61,-11893.72,-12278.35,-6503.82,-3283.02,-6075.2,-9782.29,-1200.83,300.68,-8563.49,3335.6,-57560.75,-3263.98,6510.53,-4700.3
4479.29,5970.6,-9007.39,5066.42,4445.76,1777.23,1488.09,5521.6,6541.1,-3114.31,-8043.41,6872.89,-8400.41,1957.21,265.81,-480.12
15923.2,15270.89,-8336.04,9780.94,9397.39,3773.6,4593.01,16686.02,14207.39,-5466.61,-5070.45,12264.67,50326.02,6706.06,-986.25,1595.38
-570.77,-2725.39,-5432.01,-4822.61,-3308.24,-2342.91,-2843.68,-134.65,3601.13,-89.59,-142.16,4382.19,6878.26,499.7,4507.99,-1112.31
-10862.41,-12957.48,-11943.07,-12461.01,-6891.4,-3586.65,-6485.58,-10136.07,-1570.17,439.35,-7583.95,2999.78,-57061.85,-3377.97,6777.41,-4500.75
3612.4,2821.68,-13493.66,4643.71,5371.93,1378.66,166.3,2537.1,5346.18,-5434.69,-12334.68,6184.91,-23075.58,817.81,993.76,-1296.58
16912.94,16135.63,-9431.45,11788.31,10868.85,4398.29,5036.38,17013.25,14779.51,-6732.61,-6801.01,12368.74,46064.53,6846.34,-1544.15,2110.9
3136.31,571.31,-4838.97,-2532.54,-929.92,-1164.62,-1405.48,3632.78,5802.69,-691.74,49.89,6121.61,21738.23,1959.35,4112.63,-537.51
-11427.28,-13418.29,-10627.72,-12962.85,-7668.44,-3931.05,-6582.41,-9837.81,-2066.11,748.07,-5992.06,2277.73,-52735.99,-3442.88,6996.81,-4311.11
-2776.35,-1497.75,-12585.73,-336.62,1201.09,259.64,-1470.39,-983.3,3059.86,-3328.89,-12056.53,5628.08,-39852.26,-477.43,2054.3,-2845.29
15737.59,16323.12,-9663.46,12738.88,10078.13,4106.46,4676.7,15720.7,14172.26,-6067.43,-6917.15,11755.05,39788.16,6251.16,-1894.71,2027.21
6034.7,3205.51,-5110.95,-1076.64,-258.03,-966.13,-760.67,6715.98,8111.27,-1017.63,737.61,7543.98,33489.53,3071.67,4061.13,207.6
-12319.92,-14501.1,-10945.83,-14280.62,-9786.31,-5467.68,-7691.77,-10601.43,-2222.75,1093.8,-3479.09,1452.15,-48199.03,-3535.96,8115.29,-3667.65
-6642.76,-6205.29,-14908.26,-4757.17,-1894.71,-1507.94,-3626.88,-4854.8,926.44,-2978.33,-12343.26,4605.62,-50139.61,-1660.82,3625.54,-3616.15
