Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
-42.38,1090.59,292.63,1759.8,-455.71,-204.38,33.26,998.59,113.46,83.15,118.82,-114.26,-429.15,-362.63,-192.85,-94.15
-130.62,129.55,-49.89,350.83,-350.3,-285.66,-199.29,8.05,798.49,789.91,2104.73,432.91,-18.51,-21.99,743.78,687.72
662.51,782.94,570.77,620.39,-1121.7,-1553.0,-1101.58,-1209.94,154.5,104.61,424.06,-9.12,-157.18,-168.71,19.04,-3.76
38.09,175.15,16.63,104.34,-674.58,-797.96,-658.48,-585.26,1153.62,1117.94,480.12,630.32,-784.55,-517.13,-250.52,253.2
-95.22,960.5,210.55,1564.26,-464.56,-244.08,-24.41,863.4,217.26,191.51,22.26,-50.43,-519.54,-417.35,-276.54,-101.92
-143.77,289.41,-5.1,618.52,-346.0,-236.57,-123.38,229.33,725.54,698.98,1918.85,350.3,-69.74,-50.16,656.07,612.08
517.4,593.04,439.61,466.97,-1038.28,-1393.94,-1011.46,-1105.07,248.37,192.58,733.85,67.86,-93.88,-116.14,169.78,113.73
200.63,326.42,150.74,197.95,-847.85,-1061.35,-840.34,-823.44,1025.68,958.62,422.72,538.05,-700.06,-457.85,-207.6,68.66
170.05,195.26,129.55,181.59,-666.53,-834.17,-638.1,-686.65,468.31,400.19,181.59,166.03,-460.54,-343.86,-215.92,-19.85
572.38,719.9,478.24,543.95,-1147.18,-1541.2,-1140.74,-1190.9,966.4,932.6,318.11,438.27,-844.63,-573.72,-335.01,143.23
-204.12,257.76,-82.88,488.97,-442.3,-328.3,-265.54,171.39,152.62,127.67,620.39,-86.64,-284.58,-262.05,60.08,62.5
-49.62,980.35,262.59,1645.0,-440.96,-214.31,19.85,894.52,688.79,667.6,1908.93,361.56,-24.14,-46.94,644.27,577.75
30.04,93.61,21.99,132.77,-524.37,-611.28,-474.48,-478.77,274.66,216.72,166.3,49.08,-333.13,-281.63,-170.05,-63.84
689.06,871.18,596.79,668.94,-1228.99,-1684.16,-1218.26,-1292.56,1149.86,1127.33,453.03,577.75,-870.91,-591.16,-322.94,229.6
-174.88,133.84,-108.63,245.96,-480.65,-431.3,-373.36,-86.37,78.59,58.47,292.9,-139.47,-355.66,-320.79,-100.85,-53.64
-32.99,1071.27,296.92,1752.29,-453.03,-215.92,36.48,958.35,749.41,744.58,2047.06,399.11,-28.43,-48.82,696.03,642.12
-68.13,51.77,-43.45,165.76,-416.55,-423.52,-328.57,-257.76,166.03,107.56,240.59,-17.97,-239.79,-221.82,-92.27,-64.37
717.49,871.99,620.66,679.67,-1217.72,-1665.38,-1196.8,-1281.02,1211.29,1165.42,497.82,619.86,-860.18,-556.56,-299.6,258.83
-102.19,104.34,-80.2,119.89,-553.61,-573.99,-497.55,-319.18,114.26,84.22,100.05,-129.28,-443.1,-372.83,-218.6,-106.75
-19.31,1131.09,316.77,1798.15,-444.98,-198.48,47.48,1004.49,775.43,748.6,2063.69,376.58,-58.74,-53.64,683.7,641.85
-120.97,118.82,-49.62,323.47,-355.12,-299.6,-213.77,-31.11,153.69,97.63,441.22,-20.12,-158.79,-172.73,18.24,-5.9
665.99,788.84,570.24,617.44,-1166.49,-1598.06,-1145.57,-1246.96,1146.11,1088.98,468.31,601.08,-795.54,-530.0,-281.9,228.26
9.39,153.15,-6.17,92.0,-663.85,-770.33,-644.27,-556.29,233.89,207.07,18.51,-46.13,-536.44,-431.57,-294.51,-105.14
-82.08,1002.61,234.96,1621.4,-465.36,-232.82,-11.0,893.98,682.62,684.23,1877.01,321.6,-84.22,-84.49,616.37,580.7
-145.91,256.96,-17.97,569.7,-344.66,-236.84,-132.5,193.12,229.6,187.75,756.65,47.21,-93.88,-124.45,171.12,116.14
528.13,621.2,446.32,492.45,-1039.89,-1430.96,-1013.61,-1116.34,943.6,897.2,388.38,492.99,-687.45,-475.29,-260.71,163.08
161.74,291.29,116.68,175.15,-806.0,-1018.97,-797.15,-778.38,440.15,420.57,61.15,96.02,-639.44,-488.7,-335.28,-42.92
-142.69,793.4,124.72,1300.6,-459.46,-269.56,-81.81,712.93,510.69,485.75,1485.94,167.37,-176.22,-147.79,447.66,409.84
-137.87,477.17,56.86,904.44,-370.68,-235.23,-78.59,429.15,383.82,340.37,1163.54,153.42,-68.13,-90.39,350.03,276.0
367.73,428.62,308.99,339.84,-850.8,-1139.67,-829.34,-921.07,682.62,611.81,251.86,310.06,-587.67,-417.89,-249.98,47.21
372.29,519.28,303.89,352.98,-960.5,-1267.08,-956.21,-981.96,723.93,692.28,169.78,277.61,-780.52,-555.49,-351.1,39.7
-168.17,534.56,19.58,908.73,-433.71,-265.54,-157.71,477.17,313.55,303.63,1024.87,32.99,-214.84,-199.02,240.86,219.4
-80.73,740.02,163.61,1282.63,-398.31,-214.31,-26.29,666.26,572.92,561.12,1612.54,301.48,-17.97,-49.62,531.35,454.37
230.13,270.1,190.44,236.84,-685.3,-879.76,-653.39,-722.05,467.51,410.11,205.46,185.34,-435.86,-334.2,-208.94,-12.61
621.74,798.23,538.59,606.72,-1119.55,-1519.47,-1103.46,-1162.74,1057.86,1040.16,403.14,525.98,-840.87,-574.53,-324.55,184.54
-178.1,313.28,-50.43,553.61,-423.79,-298.26,-233.62,222.09,177.83,150.74,599.74,-70.27,-278.68,-260.17,43.99,61.15
-7.24,996.71,288.07,1627.83,-402.87,-174.88,46.67,888.88,779.99,750.75,1984.03,420.84,1.61,-25.21,659.56,620.39
54.45,100.85,38.36,129.55,-529.47,-627.37,-484.14,-503.45,265.81,210.02,169.78,51.77,-317.84,-274.66,-163.61,-62.23
675.65,830.95,581.77,633.27,-1182.05,-1628.64,-1175.34,-1257.69,1155.76,1135.11,444.17,599.74,-862.6,-590.09,-324.28,239.25
-183.73,150.2,-105.14,278.41,-465.9,-407.16,-349.76,-38.62,85.56,56.59,265.81,-136.52,-366.66,-324.55,-110.78,-58.2
-27.36,1104.53,319.99,1796.54,-444.71,-208.41,52.03,994.03,808.42,784.01,2122.97,437.47,-27.36,-34.87,738.41,686.11
-57.13,56.33,-34.87,162.54,-428.35,-446.32,-346.0,-284.05,163.35,108.9,273.05,-14.48,-221.55,-214.31,-75.1,-53.38
716.42,887.27,620.66,693.35,-1231.13,-1692.47,-1207.26,-1309.45,1205.12,1182.59,497.82,636.49,-851.06,-568.09,-306.31,258.03
-119.36,106.22,-89.05,138.13,-545.56,-562.46,-484.14,-297.19,125.26,104.07,89.32,-115.33,-455.71,-385.43,-230.13,-106.48
-54.45,1106.68,300.41,1805.93,-472.07,-237.91,21.99,990.54,772.21,765.77,2093.2,396.7,-48.01,-54.18,701.93,662.77
-127.14,96.83,-57.67,294.51,-370.95,-326.96,-235.77,-67.06,160.93,111.04,489.77,-5.36,-145.38,-163.61,45.06,15.56
634.61,772.21,544.22,598.4,-1197.61,-1647.95,-1179.9,-1288.8,1110.17,1076.91,469.39,590.62,-772.21,-522.49,-270.9,239.52
-22.8,125.53,-34.6,74.57,-655.26,-753.43,-633.54,-537.78,251.05,228.52,18.78,-34.87,-549.05,-436.66,-300.94,-93.88
-90.93,985.71,222.09,1610.4,-483.87,-261.25,-37.55,889.96,655.53,644.8,1819.34,296.12,-100.05,-93.61,590.35,555.22
-152.08,223.43,-33.26,515.79,-350.03,-256.42,-155.03,153.69,245.15,200.36,801.44,57.4,-89.85,-120.43,191.24,133.84
558.17,660.36,476.9,524.37,-1068.86,-1462.34,-1045.26,-1156.3,926.17,879.5,383.82,471.8,-686.65,-471.0,-266.61,149.94
147.79,276.0,105.14,166.3,-793.67,-983.03,-785.62,-756.92,482.53,469.65,78.32,119.89,-664.65,-499.7,-340.37,-32.19
-103.8,839.0,165.76,1366.85,-459.46,-243.28,-68.93,766.84,492.19,482.26,1440.61,174.34,-159.32,-148.59,432.1,392.68
-122.85,457.05,60.35,869.3,-362.9,-220.48,-81.27,408.77,413.6,376.85,1231.67,185.34,-48.82,-80.47,376.31,301.75
404.21,481.46,339.3,385.43,-893.98,-1200.29,-869.04,-960.77,658.21,604.57,268.49,303.09,-558.97,-408.23,-247.57,50.43
356.2,511.77,290.48,351.1,-953.79,-1249.91,-948.43,-964.25,769.79,754.51,226.91,317.31,-781.6,-560.31,-351.1,70.81
-159.59,584.19,43.18,980.88,-436.93,-262.05,-135.45,517.67,305.24,271.98,976.59,19.04,-228.26,-201.17,225.31,206.8
-83.95,721.25,159.06,1251.79,-394.28,-215.92,-21.73,640.78,614.49,573.46,1677.72,316.23,-20.12,-39.96,558.44,487.09
212.43,244.35,167.37,208.41,-702.74,-898.27,-676.72,-742.97,410.11,347.35,169.78,134.38,-416.28,-322.4,-205.73,-30.85
523.84,672.7,442.3,491.92,-1101.05,-1477.36,-1094.61,-1144.5,1016.56,988.66,355.93,489.77,-834.7,-565.95,-324.28,173.27
-203.04,330.18,-61.15,590.62,-435.59,-312.21,-235.5,237.11,133.84,118.29,539.12,-96.02,-291.29,-269.29,24.41,34.33
-56.06,956.48,245.69,1587.33,-431.84,-222.09,13.68,828.8,733.58,730.63,1981.88,403.14,-6.17,-30.04,681.55,615.03
81.54,121.5,58.74,139.74,-546.9,-655.0,-501.84,-530.81,249.98,189.36,175.15,52.57,-308.19,-264.2,-144.57,-68.66
691.74,842.75,594.65,641.85,-1174.81,-1613.08,-1160.06,-1244.28,1170.78,1130.82,450.34,644.0,-866.62,-577.21,-286.19,231.47
-185.61,168.71,-101.39,312.75,-459.73,-389.72,-333.94,-2.68,90.93,58.47,251.05,-130.89,-371.49,-322.67,-119.09,-65.45
-20.38,1096.76,318.65,1783.94,-444.17,-200.36,47.48,992.69,838.19,804.39,2167.49,457.05,-4.56,-4.56,757.19,698.45
-16.09,62.76,-1.34,153.15,-440.42,-469.12,-365.32,-312.48,212.97,141.89,315.43,38.36,-211.63,-201.7,-55.25,-38.09
730.63,879.76,630.59,672.16,-1214.77,-1672.63,-1202.17,-1286.92,1228.45,1182.59,494.87,654.19,-851.33,-546.63,-281.63,267.42
-124.72,102.46,-93.07,144.3,-527.05,-527.05,-460.54,-253.2,136.52,108.36,68.66,-108.9,-463.49,-384.36,-233.35,-107.82
-19.31,1115.53,318.38,1804.59,-453.83,-205.73,41.57,1010.66,776.23,757.46,2056.99,407.43,-38.09,-42.38,711.05,660.36
-107.82,88.51,-50.69,269.29,-369.61,-332.33,-247.03,-92.54,171.39,117.48,513.91,1.07,-135.72,-155.57,61.42,25.75
690.4,808.42,590.62,630.59,-1163.81,-1611.2,-1153.62,-1244.55,1117.68,1061.62,461.61,587.94,-771.67,-512.3,-259.37,227.18
-30.04,120.16,-39.16,81.0,-620.39,-700.59,-594.65,-483.87,270.37,244.35,16.36,-19.85,-554.95,-440.42,-299.33,-93.61
-64.1,1032.92,242.74,1669.94,-476.63,-239.79,-13.14,925.36,665.46,659.29,1828.73,319.72,-79.13,-76.17,622.27,571.04
-142.96,205.99,-36.75,486.55,-345.74,-254.01,-157.71,126.33,270.37,226.65,858.58,80.47,-74.83,-103.27,228.26,162.27
598.94,691.47,511.77,550.66,-1050.08,-1435.25,-1031.58,-1131.62,931.53,870.65,397.24,470.46,-631.66,-410.65,-215.92,179.44
129.82,251.59,89.32,148.59,-748.34,-915.17,-741.9,-701.4,537.51,509.35,111.04,152.62,-645.07,-466.44,-306.84,6.97
-94.41,895.05,184.0,1447.32,-447.12,-230.67,-42.92,788.03,507.47,496.21,1441.15,185.07,-126.6,-116.41,446.05,415.74
-122.04,436.93,50.43,832.83,-349.49,-212.97,-77.78,373.1,466.17,433.45,1326.08,232.28,-5.36,-43.18,432.64,362.63
447.39,511.23,377.12,412.52,-890.23,-1196.27,-866.89,-963.18,659.82,605.91,264.47,308.45,-501.3,-351.37,-201.43,74.03
335.01,472.87,271.17,319.72,-900.95,-1171.32,-897.2,-910.07,838.19,827.73,253.74,370.68,-734.66,-503.99,-296.65,128.21
-138.13,639.98,80.2,1054.11,-421.11,-237.11,-106.48,578.82,295.58,276.8,935.82,26.29,-205.19,-188.83,230.13,210.02
-75.1,692.28,162.01,1204.04,-370.95,-191.78,-11.27,624.69,651.24,622.54,1732.44,358.07,19.85,-8.05,613.69,538.05
270.1,307.11,219.67,256.42,-732.78,-948.97,-706.76,-777.84,429.96,373.1,202.78,163.35,-381.14,-289.95,-168.71,-0.8
523.84,685.84,446.05,499.16,-1064.03,-1424.25,-1055.99,-1098.36,1104.53,1089.51,443.37,574.8,-776.23,-503.18,-247.84,260.44
-175.95,392.41,-27.89,681.28,-416.55,-271.98,-190.44,320.26,165.76,137.6,552.0,-69.47,-271.71,-234.16,50.43,56.33
-25.75,951.92,257.49,1567.48,-391.6,-172.47,51.23,848.11,824.51,797.69,2077.64,473.68,59.01,62.23,768.72,688.25
103.27,144.3,81.0,154.5,-561.65,-679.67,-517.4,-557.63,250.52,188.56,193.92,38.62,-281.63,-236.57,-126.87,-50.16
672.7,834.97,585.26,641.85,-1136.18,-1554.07,-1115.53,-1199.75,1226.04,1187.41,502.38,649.09,-807.08,-503.99,-245.15,298.53
-182.93,208.94,-88.24,371.75,-438.54,-358.61,-299.87,55.25,102.73,74.57,242.74,-124.45,-361.56,-312.21,-113.46,-54.72
-4.83,1104.27,318.91,1769.19,-402.33,-168.98,78.59,981.69,840.34,821.02,2148.45,463.49,21.73,19.31,784.28,718.56
-16.36,67.32,-10.73,138.67,-442.56,-485.21,-374.97,-348.42,160.4,106.22,298.53,-11.27,-196.87,-192.31,-44.52,-39.96
736.53,890.23,636.49,674.84,-1160.59,-1616.03,-1147.72,-1251.25,1201.63,1164.62,483.87,649.9,-796.35,-513.64,-253.47,276.0
-142.16,110.51,-98.17,171.12,-499.43,-486.55,-423.52,-195.0,142.96,114.26,63.3,-101.39,-454.37,-378.73,-229.33,-104.34
-28.16,1125.99,322.13,1823.37,-432.91,-189.9,61.96,1043.92,803.59,765.5,2080.86,415.21,-23.07,-25.21,736.8,674.04
-101.39,78.32,-48.82,239.52,-375.51,-349.49,-261.25,-130.62,181.85,122.31,545.02,6.97,-126.33,-144.03,85.29,38.62
727.95,888.62,633.81,696.03,-1164.35,-1612.54,-1134.57,-1253.13,1125.45,1063.5,474.48,596.79,-752.9,-482.8,-221.82,238.45
-35.94,135.18,-37.55,108.63,-595.45,-659.82,-557.9,-434.52,310.87,281.9,33.26,4.29,-564.34,-434.79,-289.41,-77.78
-17.97,1104.8,301.48,1757.12,-430.76,-192.31,50.43,1000.73,677.53,653.92,1802.71,314.09,-78.86,-72.42,609.93,563.26
-124.99,196.07,-26.02,455.71,-333.94,-253.2,-157.98,102.73,293.97,242.47,895.32,96.56,-63.84,-97.9,245.96,177.03
652.58,743.78,561.12,590.62,-1081.47,-1497.21,-1069.4,-1164.88,907.66,844.36,375.24,465.1,-643.73,-434.79,-233.08,156.37
105.95,226.38,71.88,133.04,-719.9,-876.81,-713.74,-659.29,548.51,524.1,104.87,169.78,-671.09,-492.45,-321.06,0.8
